关键词,编码,品目名称
其他档案,A04049900,其他档案
家具和用具,A05000000,家具和用具
钢木床类,A05010101,钢木床类
钢塑床类,A05010102,钢塑床类
轻金属床类,A05010103,轻金属床类
木制床类,A05010104,木制床类
塑料床类,A05010105,塑料床类
竹制床类,A05010106,竹制床类
藤床类,A05010107,藤床类
其他床类,A05010199,其他床类
台、桌类,A05010200,台、桌类
办公桌,A05010201,办公桌
会议桌,A05010202,会议桌
教学、实验用桌,A05010203,教学、实验用桌
其他台、桌类,A05010299,其他台、桌类
椅凳类,A05010300,椅凳类
办公椅,A05010301,办公椅
桌前椅,A05010302,桌前椅
会议椅,A05010303,会议椅
教学、实验椅凳,A05010304,教学、实验椅凳
其他椅凳类,A05010399,其他椅凳类
沙发类,A05010400,沙发类
三人沙发,A05010401,三人沙发
单人沙发,A05010402,单人沙发
其他沙发类,A05010499,其他沙发类
文件柜,A05010502,文件柜
更衣柜,A05010503,更衣柜
保密柜,A05010504,保密柜
茶水柜,A05010505,茶水柜
其他柜类,A05010599,其他柜类
木质架类,A05010601,木质架类
金属质架类,A05010602,金属质架类
其他架类,A05010699,其他架类
屏风类,A05010700,屏风类
木质屏风类,A05010701,木质屏风类
金属质屏风类,A05010702,金属质屏风类
其他屏风类,A05010799,其他屏风类
组合家具,A05010800,组合家具
其他家具,A05019900,其他家具
厨卫用具,A05020100,厨卫用具
厨房操作台,A05020101,厨房操作台
炊事机械,A05020102,炊事机械
煤气罐（液化气罐）,A05020103,煤气罐（液化气罐）
便器冲洗阀,A05020107,便器冲洗阀
水箱配件,A05020108,水箱配件
淋浴器,A05020110,淋浴器
淋浴房,A05020111,淋浴房
其他厨卫用具,A05020199,其他厨卫用具
其他用具,A05029900,其他用具
纺织用料,A05030100,纺织用料
棉、化纤纺织及印染原料,A05030101,棉、化纤纺织及印染原料
毛纺织、染整加工原料,A05030102,毛纺织、染整加工原料
麻纺织原料,A05030103,麻纺织原料
丝绢纺织及精加工原料,A05030104,丝绢纺织及精加工原料
其他纺织用料,A05030199,其他纺织用料
皮革、毛皮等用料,A05030200,皮革、毛皮等用料
半成品革,A05030201,半成品革
成品革和再生革,A05030202,成品革和再生革
鞣制及人造毛皮,A05030203,鞣制及人造毛皮
加工羽毛（绒）,A05030204,加工羽毛（绒）
其他皮革、毛皮等用料,A05030299,其他皮革、毛皮等用料
羽绒、羽毛服装,A05030302,羽绒、羽毛服装
普通服装,A05030303,普通服装
鞋、靴及附件,A05030304,鞋、靴及附件
被服附件,A05030305,被服附件
其他被服,A05030399,其他被服
床上装具,A05030400,床上装具
床褥单,A05030401,床褥单
毛巾被,A05030407,毛巾被
其他床上装具,A05030499,其他床上装具
室内装具,A05030500,室内装具
台布（桌布）,A05030501,台布（桌布）
盥洗、厨房用织物制品,A05030504,盥洗、厨房用织物制品
窗帘及类似品,A05030505,窗帘及类似品
垫子套,A05030506,垫子套
其他室内装具,A05030599,其他室内装具
室外装具,A05030600,室外装具
天篷、遮阳篷、帐篷,A05030601,天篷、遮阳篷、帐篷
船帆、风帆和野营用等物品,A05030602,船帆、风帆和野营用等物品
降落伞,A05030603,降落伞
绳、索、缆及其制品,A05030604,绳、索、缆及其制品
其他室外装具,A05030699,其他室外装具
箱、包和类似制品,A05030700,箱、包和类似制品
衣箱、提箱及类似容器,A05030701,衣箱、提箱及类似容器
手提包、背包,A05030702,手提包、背包
其他箱、包和类似制品,A05030799,其他箱、包和类似制品
其他装具,A05039900,其他装具
办公用品,A05040000,办公用品
纸制文具,A05040100,纸制文具
复印纸,A05040101,复印纸
其他纸制文具,A05040199,其他纸制文具
硒鼓、粉盒,A05040200,硒鼓、粉盒
鼓粉盒,A05040201,鼓粉盒
墨粉盒,A05040202,墨粉盒
喷墨盒,A05040203,喷墨盒
墨水盒,A05040204,墨水盒
其他硒鼓、粉盒,A05040299,其他硒鼓、粉盒
墨、颜料,A05040300,墨、颜料
其他墨、颜料,A05040399,其他墨、颜料
文教用品,A05040400,文教用品
其他文教用品,A05040499,其他文教用品
清洁用品,A05040500,清洁用品
卫生用纸制品,A05040501,卫生用纸制品
消毒杀菌用品,A05040502,消毒杀菌用品
肥(香)皂和合成洗涤剂,A05040503,肥(香)皂和合成洗涤剂
口腔清洁护理用品,A05040504,口腔清洁护理用品
其他清洁用品,A05040599,其他清洁用品
信息化学品,A05040600,信息化学品
胶片胶卷,A05040601,胶片胶卷
录音录像带,A05040602,录音录像带
其他信息化学品,A05040699,其他信息化学品
其他办公用品,A05049900,其他办公用品
特种动植物,A06000000,特种动植物
特种用途动物,A06010000,特种用途动物
实验用动物,A06010100,实验用动物
动物良种,A06010200,动物良种
观赏动物,A06010300,观赏动物
警用动物,A06010400,警用动物
搜救动物,A06010500,搜救动物
助残动物,A06010600,助残动物
其他特种用途动物,A06019900,其他特种用途动物
特种用途植物,A06020000,特种用途植物
名贵树木,A06020100,名贵树木
名贵花卉,A06020200,名贵花卉
其他特种用途植物,A06029900,其他特种用途植物
建筑建材,A07010000,建筑建材
天然石料,A07010100,天然石料
天然大理石荒料,A07010101,天然大理石荒料
天然花岗石荒料,A07010102,天然花岗石荒料
石英岩,A07010103,石英岩
其他天然石料,A07010199,其他天然石料
木材、板材,A07010200,木材、板材
普通锯材,A07010201,普通锯材
特种锯材,A07010202,特种锯材
木片和木粒,A07010204,木片和木粒
木丝、木粉,A07010205,木丝、木粉
锯末、木废料及碎片,A07010206,锯末、木废料及碎片
胶合板,A07010207,胶合板
纤维板,A07010208,纤维板
刨花板,A07010209,刨花板
细木工板,A07010210,细木工板
强化木,A07010212,强化木
指接材,A07010213,指接材
人造板表面装饰板,A07010214,人造板表面装饰板
热固性树脂装饰层压板,A07010215,热固性树脂装饰层压板
竹制品,A07010216,竹制品
棕、藤、草制品,A07010217,棕、藤、草制品
其他木材、板材,A07010299,其他木材、板材
非金属矿物材料,A07010300,非金属矿物材料
硅酸盐水泥熟料,A07010301,硅酸盐水泥熟料
熟石膏,A07010304,熟石膏
商品混凝土,A07010305,商品混凝土
水泥混凝土排水管,A07010306,水泥混凝土排水管
水泥混凝土压力管,A07010307,水泥混凝土压力管
钢筋混凝土井管、烟道管，相关钢筋混凝土管,A07010308,钢筋混凝土井管、烟道管，相关钢筋混凝土管
水泥混凝土电杆,A07010309,水泥混凝土电杆
预应力混凝土桩,A07010310,预应力混凝土桩
遁构法施工用钢筋混凝土管片,A07010311,遁构法施工用钢筋混凝土管片
混凝土轨枕及铁道用混凝土制品,A07010312,混凝土轨枕及铁道用混凝土制品
水泥混凝土预制构件,A07010313,水泥混凝土预制构件
水泥混凝土制砖、瓦及类似品,A07010314,水泥混凝土制砖、瓦及类似品
水泥混凝土装饰制品,A07010315,水泥混凝土装饰制品
石棉水泥制品,A07010316,石棉水泥制品
纤维增强硅酸钙板,A07010317,纤维增强硅酸钙板
无石棉纤维水泥制品,A07010318,无石棉纤维水泥制品
GRC水泥制品,A07010319,GRC水泥制品
石膏板,A07010320,石膏板
石膏龙骨，相关石膏制品,A07010321,石膏龙骨，相关石膏制品
轻质隔墙条板,A07010322,轻质隔墙条板
轻骨料，相关轻质建筑材料,A07010323,轻骨料，相关轻质建筑材料
建筑砌块,A07010326,建筑砌块
瓷质砖,A07010327,瓷质砖
炻瓷砖,A07010328,炻瓷砖
细炻砖,A07010329,细炻砖
炻质砖,A07010330,炻质砖
陶质砖,A07010331,陶质砖
陶瓷马赛克,A07010332,陶瓷马赛克
陶瓷耐酸砖,A07010333,陶瓷耐酸砖
建筑陶瓷装饰物,A07010334,建筑陶瓷装饰物
加工天然石材、石料,A07010335,加工天然石材、石料
人造石材、石料,A07010336,人造石材、石料
专用或特殊用途天然石材制品,A07010337,专用或特殊用途天然石材制品
专用人造石建筑用制品,A07010338,专用人造石建筑用制品
天然石碑石及其制品,A07010339,天然石碑石及其制品
人造石碑石及其制品,A07010340,人造石碑石及其制品
蜡石制成品,A07010341,蜡石制成品
水磨石建筑制成品,A07010342,水磨石建筑制成品
PVC石英砂制成品,A07010343,PVC石英砂制成品
石材复合板,A07010344,石材复合板
沥青和改性沥青防水卷材,A07010345,沥青和改性沥青防水卷材
金属胎油毡,A07010346,金属胎油毡
自粘防水卷材,A07010347,自粘防水卷材
玻纤胎沥青瓦,A07010348,玻纤胎沥青瓦
建筑用沥青制品,A07010349,建筑用沥青制品
高分子防水卷（片）材,A07010350,高分子防水卷（片）材
矿物绝热和吸声材料,A07010351,矿物绝热和吸声材料
矿物材料制品,A07010352,矿物材料制品
已加工石棉纤维,A07010353,已加工石棉纤维
石棉制品,A07010354,石棉制品
已加工云母,A07010355,已加工云母
云母制品,A07010356,云母制品
致密定形耐火制品,A07010357,致密定形耐火制品
隔热耐火制品,A07010358,隔热耐火制品
不定形耐火制品,A07010359,不定形耐火制品
耐火陶瓷制品,A07010360,耐火陶瓷制品
石墨制品,A07010361,石墨制品
碳制品,A07010362,碳制品
炭素新材料,A07010363,炭素新材料
固结磨具,A07010364,固结磨具
天然石制磨具,A07010365,天然石制磨具
涂附磨具,A07010366,涂附磨具
超硬材料制品,A07010367,超硬材料制品
天然研磨料,A07010368,天然研磨料
普通磨料,A07010369,普通磨料
超硬材料,A07010370,超硬材料
沥青混合物,A07010371,沥青混合物
泥炭制品,A07010372,泥炭制品
其他非金属矿物材料,A07010399,其他非金属矿物材料
黑色金属冶炼及压延产品,A07010400,黑色金属冶炼及压延产品
炼钢生铁,A07010401,炼钢生铁
铸造生铁,A07010402,铸造生铁
含钒生铁,A07010403,含钒生铁
炼钢用直接还原铁,A07010404,炼钢用直接还原铁
炼钢用熔融还原铁,A07010405,炼钢用熔融还原铁
高炉生铁产球磨铸铁,A07010406,高炉生铁产球磨铸铁
铸铁管,A07010407,铸铁管
铸铁管附件,A07010408,铸铁管附件
非合金钢粗钢,A07010409,非合金钢粗钢
低合金钢粗钢,A07010410,低合金钢粗钢
合金钢粗钢,A07010411,合金钢粗钢
不锈钢粗钢,A07010412,不锈钢粗钢
非合金钢钢坯,A07010413,非合金钢钢坯
低合金钢钢坯,A07010414,低合金钢钢坯
合金钢钢坯,A07010415,合金钢钢坯
不锈钢钢坯,A07010416,不锈钢钢坯
铁道用钢材,A07010417,铁道用钢材
大型型钢,A07010418,大型型钢
中小型型钢,A07010419,中小型型钢
线材（盘条）,A07010422,线材（盘条）
特厚板,A07010423,特厚板
厚钢板,A07010424,厚钢板
热轧薄板,A07010426,热轧薄板
冷轧薄板,A07010427,冷轧薄板
中厚宽钢带,A07010428,中厚宽钢带
热轧薄宽钢带,A07010429,热轧薄宽钢带
冷轧薄宽钢带,A07010430,冷轧薄宽钢带
热轧窄钢带,A07010431,热轧窄钢带
冷轧窄钢带,A07010432,冷轧窄钢带
镀层板带,A07010433,镀层板带
涂层板带,A07010434,涂层板带
电工钢板带,A07010435,电工钢板带
无缝钢管,A07010436,无缝钢管
焊接钢管,A07010437,焊接钢管
普通铁合金,A07010438,普通铁合金
特种铁合金,A07010439,特种铁合金
其他黑色金属冶炼及压延产品,A07010499,其他黑色金属冶炼及压延产品
有色金属冶炼及压延产品,A07010500,有色金属冶炼及压延产品
汞及汞化合物,A07010510,汞及汞化合物
镉、铋及常见有色金属,A07010511,镉、铋及常见有色金属
贵金属,A07010512,贵金属
稀有稀土金属,A07010513,稀有稀土金属
碱金属及碱土金属,A07010514,碱金属及碱土金属
